step,id,x,y,gx,gy
0,0,6,0,1,1
0,1,12,18,1,0
0,2,15,3,14,3
0,3,17,4,16,2
0,4,18,19,7,12
0,5,9,13,7,19
0,6,9,4,1,16
0,7,13,7,0,0
0,8,4,1,1,0
0,9,5,7,15,14
0,10,11,11,17,3
0,11,14,19,4,19
0,12,15,5,3,8
0,13,1,9,15,10
0,14,15,7,10,0
0,15,2,7,18,1
0,16,9,10,1,0
0,17,19,5,19,14
0,18,2,15,2,4
0,19,6,11,11,16
0,20,14,6,10,18
0,21,0,1,19,9
0,22,3,19,2,11
0,23,9,5,18,11
0,24,1,14,12,19
0,25,6,0,7,9
0,26,9,11,5,15
0,27,18,7,13,10
0,28,11,4,11,15
0,29,9,3,11,3
1,0,6,1,1,1
1,1,12,17,1,0
1,2,14,3,14,3
1,3,17,3,16,2
1,4,18,18,7,12
1,5,9,14,7,19
1,6,9,4,1,16
1,7,13,6,0,0
1,8,4,0,1,0
1,9,5,8,15,14
1,10,11,12,17,3
1,11,13,19,4,19
1,12,15,4,3,8
1,13,1,10,15,10
1,14,15,8,10,0
1,15,2,6,18,1
1,16,10,10,1,0
1,17,19,6,19,14
1,18,2,14,2,4
1,19,6,12,11,16
1,20,14,5,10,18
1,21,0,2,19,9
1,22,3,18,2,11
1,23,9,6,18,11
1,24,1,15,12,19
1,25,7,0,7,9
1,26,9,12,5,15
1,27,18,8,13,10
1,28,11,3,11,15
1,29,10,3,11,3
2,0,5,1,1,1
2,1,11,17,1,0
2,2,-1,-1,-1,-1
2,3,17,2,16,2
2,4,17,18,7,12
2,5,9,15,7,19
2,6,9,3,1,16
2,7,13,5,0,0
2,8,3,0,1,0
2,9,5,9,15,14
2,10,11,13,17,3
2,11,12,19,4,19
2,12,15,3,3,8
2,13,1,11,15,10
2,14,15,9,10,0
2,15,2,5,18,1
2,16,10,11,1,0
2,17,19,7,19,14
2,18,2,13,2,4
2,19,6,13,11,16
2,20,14,6,10,18
2,21,1,2,19,9
2,22,3,17,2,11
2,23,9,6,18,11
2,24,1,16,12,19
2,25,7,1,7,9
2,26,9,13,5,15
2,27,18,9,13,10
2,28,11,2,11,15
2,29,10,3,11,3
3,0,4,1,1,1
3,1,10,17,1,0
3,2,-1,-1,-1,-1
3,3,16,2,16,2
3,4,16,18,7,12
3,5,9,16,7,19
3,6,9,2,1,16
3,7,13,4,0,0
3,8,2,0,1,0
3,9,5,10,15,14
3,10,11,14,17,3
3,11,11,19,4,19
3,12,15,2,3,8
3,13,1,12,15,10
3,14,15,8,10,0
3,15,2,4,18,1
3,16,10,11,1,0
