step,active_robots
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,29
8,28
9,28
10,27
11,27
12,27
13,27
14,25
15,25
16,25
17,23
18,22
19,22
20,20
21,20
22,20
23,19
24,19
25,19
26,18
27,18
28,17
29,17
30,15
31,14
32,14
33,14
34,14
35,14
36,14
37,13
38,13
39,13
40,13
41,13
42,12
43,12
44,12
45,12
46,12
47,12
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,12
58,12
59,12
60,12
61,12
62,12
63,11
64,11
65,11
66,11
67,8
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,6
77,5
78,5
79,5
80,5
81,5
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,3
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,1
146,1
147,1
148,1
149,0
