step,cumulative_deliveries
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,2
10,3
11,3
12,3
13,3
14,5
15,5
16,5
17,7
18,8
19,8
20,10
21,10
22,10
23,11
24,11
25,11
26,12
27,12
28,13
29,13
30,15
31,16
32,16
33,16
34,16
35,16
36,16
37,17
38,17
39,17
40,17
41,17
42,18
43,18
44,18
45,18
46,18
47,18
48,18
49,18
50,18
51,18
52,18
53,18
54,18
55,18
56,18
57,18
58,18
59,18
60,18
61,18
62,18
63,19
64,19
65,19
66,19
67,22
68,23
69,23
70,23
71,23
72,23
73,23
74,23
75,23
76,24
77,25
78,25
79,25
80,25
81,25
82,26
83,26
84,26
85,26
86,26
87,26
88,26
89,26
90,26
91,26
92,26
93,26
94,26
95,26
96,26
97,26
98,26
99,26
100,26
101,26
102,26
103,26
104,26
105,26
106,27
107,28
108,28
109,28
110,28
111,28
112,28
113,28
114,28
115,28
116,28
117,28
118,28
119,28
120,28
121,28
122,28
123,28
124,28
125,28
126,28
127,28
128,28
129,28
130,28
131,28
132,28
133,28
134,28
135,28
136,28
137,28
138,28
139,28
140,28
141,28
142,28
143,28
144,28
145,29
146,29
147,29
148,29
149,30
