step,id,x,y,gx,gy
0,0,3,6,17,15
0,1,13,15,6,12
0,2,9,1,2,7
0,3,10,19,3,6
0,4,11,8,7,9
0,5,2,10,2,3
0,6,7,15,9,2
0,7,2,18,9,7
0,8,13,16,11,2
0,9,9,13,1,19
0,10,4,17,18,4
0,11,15,10,13,6
0,12,11,0,2,10
0,13,16,1,5,5
0,14,6,9,13,17
0,15,2,5,14,7
0,16,14,4,3,10
0,17,7,8,16,18
0,18,3,11,14,19
0,19,12,0,19,12
0,20,6,6,14,19
0,21,15,10,14,18
0,22,7,1,17,2
0,23,17,12,1,0
0,24,6,1,5,9
0,25,4,19,11,17
0,26,17,11,1,15
0,27,9,7,7,16
0,28,17,13,6,5
0,29,6,3,19,4
1,0,3,7,17,15
1,1,14,15,6,12
1,2,8,1,2,7
1,3,9,19,3,6
1,4,11,7,7,9
1,5,2,9,2,3
1,6,7,14,9,2
1,7,3,18,9,7
1,8,14,16,11,2
1,9,9,14,1,19
1,10,5,17,18,4
1,11,14,10,13,6
1,12,10,0,2,10
1,13,16,2,5,5
1,14,6,10,13,17
1,15,3,5,14,7
1,16,13,4,3,10
1,17,7,9,16,18
1,18,3,12,14,19
1,19,13,0,19,12
1,20,6,7,14,19
1,21,15,10,14,18
1,22,7,2,17,2
1,23,18,12,1,0
1,24,5,1,5,9
1,25,5,19,11,17
1,26,18,11,1,15
1,27,9,8,7,16
1,28,17,14,6,5
1,29,7,3,19,4
2,0,3,8,17,15
2,1,13,15,6,12
2,2,7,1,2,7
2,3,8,19,3,6
2,4,11,6,7,9
2,5,2,8,2,3
2,6,7,13,9,2
2,7,4,18,9,7
2,8,13,16,11,2
2,9,9,15,1,19
2,10,6,17,18,4
2,11,13,10,13,6
2,12,9,0,2,10
2,13,15,2,5,5
2,14,6,11,13,17
2,15,3,4,14,7
2,16,13,3,3,10
2,17,7,10,16,18
2,18,3,13,14,19
2,19,14,0,19,12
2,20,6,8,14,19
2,21,15,11,14,18
2,22,8,2,17,2
2,23,17,12,1,0
2,24,5,2,5,9
2,25,6,19,11,17
2,26,17,11,1,15
2,27,9,9,7,16
2,28,17,15,6,5
2,29,6,3,19,4
3,0,3,9,17,15
3,1,14,15,6,12
3,2,6,1,2,7
3,3,7,19,3,6
3,4,11,5,7,9
3,5,2,7,2,3
3,6,7,12,9,2
3,7,5,18,9,7
3,8,14,16,11,2
3,9,9,16,1,19
3,10,7,17,18,4
3,11,13,9,13,6
3,12,8,0,2,10
3,13,14,2,5,5
3,14,7,11,13,17
3,15,3,3,14,7
3,16,13,2,3,10
3,17,7,10,16,18
3,18,3,14,14,19
3,19,15,0,19,12
3,20,6,9,14,19
3,21,14,11,14,18
3,22,9,2,17,2
3,23,18,12,1,0
3,24,5,3,5,9
3,25,6,19,11,17
3,26,18,11,1,15
3,27,9,10,7,16
3,28,17,16,6,5
3,29,7,3,19,4
4,0,3,10,17,15
4,1,13,15,6,12
4,2,5,1,2,7
4,3,7,18,3,6
4,4,11,4,7,9
4,5,2,6,2,3
4,6,6,12,9,2
4,7,6,18,9,7
4,8,13,16,11,2
4,9,9,17,1,19
4,10,8,17,18,4
4,11,13,8,13,6
4,12,7,0,2,10
4,13,15,2,5,5
4,14,6,11,13,17
4,15,3,2,14,7
4,16,12,2,3,10
4,17,7,9,16,18
4,18,3,15,14,19
4,19,16,0,19,12
4,20,6,10,14,19
4,21,14,12,14,18
4,22,10,2,17,2
4,23,17,12,1,0
4,24,5,4,5,9
4,25,6,19,11,17
4,26,17,11,1,15
4,27,9,11,7,16
4,28,17,17,6,5
4,29,7,2,19,4
5,0,3,11,17,15
5,1,14,15,6,12
5,2,4,1,2,7
5,3,7,17,3,6
5,4,11,3,7,9
5,5,2,5,2,3
5,6,7,12,9,2
5,7,6,17,9,7
5,8,14,16,11,2
5,9,9,18,1,19
5,10,8,17,18,4
5,11,13,7,13,6
5,12,6,0,2,10
5,13,14,2,5,5
5,14,7,11,13,17
5,15,4,2,14,7
5,16,11,2,3,10
5,17,7,10,16,18
5,18,3,16,14,19
5,19,17,0,19,12
5,20,6,10,14,19
5,21,14,13,14,18
5,22,10,2,17,2
5,23,18,12,1,0
5,24,5,5,5,9
5,25,7,19,11,17
5,26,18,11,1,15
5,27,9,12,7,16
5,28,16,17,6,5
5,29,8,2,19,4
6,0,3,12,17,15
6,1,13,15,6,12
6,2,3,1,2,7
6,3,7,16,3,6
6,4,10,3,7,9
6,5,2,4,2,3
6,6,6,12,9,2
6,7,6,16,9,7
6,8,13,16,11,2
6,9,8,18,1,19
6,10,9,17,18,4
6,11,13,6,13,6
6,12,5,0,2,10
6,13,13,2,5,5
6,14,6,11,13,17
6,15,5,2,14,7
6,16,12,2,3,10
6,17,7,9,16,18
6,18,3,17,14,19
6,19,17,1,19,12
6,20,6,10,14,19
6,21,14,14,14,18
6,22,10,1,17,2
6,23,17,12,1,0
6,24,5,6,5,9
6,25,8,19,11,17
6,26,17,11,1,15
6,27,9,13,7,16
6,28,15,17,6,5
6,29,9,2,19,4
7,0,3,13,17,15
7,1,13,14,6,12
7,2,3,2,2,7
7,3,7,17,3,6
7,4,10,2,7,9
7,5,2,3,2,3
7,6,7,12,9,2
7,7,6,17,9,7
7,8,14,16,11,2
7,9,7,18,1,19
7,10,10,17,18,4
7,11,-1,-1,-1,-1
7,12,4,0,2,10
7,13,13,3,5,5
7,14,7,11,13,17
7,15,6,2,14,7
7,16,11,2,3,10
7,17,7,10,16,18
7,18,4,17,14,19
7,19,17,2,19,12
7,20,6,10,14,19
7,21,14,15,14,18
7,22,10,1,17,2
7,23,18,12,1,0
7,24,5,7,5,9
7,25,9,19,11,17
7,26,18,11,1,15
7,27,9,14,7,16
7,28,14,17,6,5
7,29,9,2,19,4
8,0,3,14,17,15
8,1,13,15,6,12
8,2,2,2,2,7
8,3,8,17,3,6
8,4,10,3,7,9
8,5,-1,-1,-1,-1
8,6,7,13,9,2
8,7,5,17,9,7
8,8,13,16,11,2
8,9,6,18,1,19
8,10,11,17,18,4
8,11,-1,-1,-1,-1
8,12,3,0,2,10
8,13,13,2,5,5
8,14,6,11,13,17
8,15,7,2,14,7
8,16,12,2,3,10
8,17,7,9,16,18
8,18,4,17,14,19
8,19,17,3,19,12
8,20,6,10,14,19
8,21,14,15,14,18
8,22,11,1,17,2
8,23,17,12,1,0
8,24,5,8,5,9
8,25,10,19,11,17
8,26,17,11,1,15
8,27,9,15,7,16
8,28,13,17,6,5
8,29,9,1,19,4
9,0,3,15,17,15
9,1,13,14,6,12
9,2,2,3,2,7
9,3,7,17,3,6
9,4,10,2,7,9
9,5,-1,-1,-1,-1
9,6,7,12,9,2
9,7,6,17,9,7
9,8,14,16,11,2
9,9,5,18,1,19
9,10,12,17,18,4
9,11,-1,-1,-1,-1
9,12,2,0,2,10
9,13,13,3,5,5
9,14,7,11,13,17
9,15,8,2,14,7
9,16,11,2,3,10
9,17,7,10,16,18
9,18,4,18,14,19
9,19,17,4,19,12
9,20,6,10,14,19
9,21,14,15,14,18
9,22,11,1,17,2
9,23,18,12,1,0
9,24,5,9,5,9
9,25,11,19,11,17
9,26,18,11,1,15
9,27,9,16,7,16
9,28,13,17,6,5
9,29,10,1,19,4
10,0,3,16,17,15
10,1,13,15,6,12
10,2,2,4,2,7
10,3,7,18,3,6
10,4,9,2,7,9
10,5,-1,-1,-1,-1
10,6,6,12,9,2
10,7,6,16,9,7
10,8,13,16,11,2
10,9,5,19,1,19
10,10,11,17,18,4
10,11,-1,-1,-1,-1
10,12,2,1,2,10
10,13,13,2,5,5
10,14,6,11,13,17
10,15,8,2,14,7
10,16,11,3,3,10
10,17,7,9,16,18
10,18,4,19,14,19
10,19,18,4,19,12
10,20,6,10,14,19
10,21,15,15,14,18
10,22,12,1,17,2
10,23,17,12,1,0
10,24,-1,-1,-1,-1
10,25,11,18,11,17
10,26,17,11,1,15
10,27,9,17,7,16
10,28,14,17,6,5
10,29,9,1,19,4
11,0,3,17,17,15
11,1,14,15,6,12
11,2,2,5,2,7
11,3,7,17,3,6
11,4,9,3,7,9
11,5,-1,-1,-1,-1
11,6,7,12,9,2
11,7,7,16,9,7
11,8,13,17,11,2
11,9,6,19,1,19
11,10,12,17,18,4
11,11,-1,-1,-1,-1
11,12,2,2,2,10
11,13,12,2,5,5
11,14,7,11,13,17
11,15,7,2,14,7
11,16,11,2,3,10
11,17,7,10,16,18
11,18,4,18,14,19
11,19,18,5,19,12
11,20,6,10,14,19
11,21,15,15,14,18
11,22,13,1,17,2
11,23,17,13,1,0
11,24,-1,-1,-1,-1
11,25,10,18,11,17
11,26,18,11,1,15
11,27,8,17,7,16
11,28,14,17,6,5
11,29,10,1,19,4
12,0,4,17,17,15
12,1,13,15,6,12
12,2,2,6,2,7
12,3,6,17,3,6
12,4,9,2,7,9
12,5,-1,-1,-1,-1
12,6,6,12,9,2
12,7,7,15,9,7
12,8,13,16,11,2
12,9,5,19,1,19
12,10,12,18,18,4
12,11,-1,-1,-1,-1
12,12,2,3,2,10
12,13,13,2,5,5
12,14,6,11,13,17
12,15,8,2,14,7
12,16,10,2,3,10
12,17,7,9,16,18
12,18,5,18,14,19
12,19,18,6,19,12
12,20,6,10,14,19
12,21,15,16,14,18
12,22,14,1,17,2
12,23,17,12,1,0
12,24,-1,-1,-1,-1
12,25,11,18,11,17
12,26,17,11,1,15
12,27,8,18,7,16
12,28,15,17,6,5
12,29,10,1,19,4
13,0,5,17,17,15
13,1,14,15,6,12
13,2,2,7,2,7
13,3,6,17,3,6
13,4,9,3,7,9
13,5,-1,-1,-1,-1
13,6,7,12,9,2
13,7,7,16,9,7
13,8,13,17,11,2
13,9,4,19,1,19
13,10,13,18,18,4
13,11,-1,-1,-1,-1
13,12,2,4,2,10
13,13,12,2,5,5
13,14,7,11,13,17
13,15,7,2,14,7
13,16,11,2,3,10
13,17,7,10,16,18
13,18,6,18,14,19
13,19,18,7,19,12
13,20,6,10,14,19
13,21,14,16,14,18
13,22,15,1,17,2
13,23,17,13,1,0
13,24,-1,-1,-1,-1
13,25,11,17,11,17
13,26,18,11,1,15
13,27,7,18,7,16
13,28,14,17,6,5
13,29,11,1,19,4
14,0,4,17,17,15
14,1,13,15,6,12
14,2,-1,-1,-1,-1
14,3,7,17,3,6
14,4,9,2,7,9
14,5,-1,-1,-1,-1
14,6,6,12,9,2
14,7,7,16,9,7
14,8,12,17,11,2
14,9,3,19,1,19
14,10,14,18,18,4
14,11,-1,-1,-1,-1
14,12,2,5,2,10
14,13,13,2,5,5
14,14,6,11,13,17
14,15,8,2,14,7
14,16,10,2,3,10
14,17,7,9,16,18
14,18,6,19,14,19
14,19,18,8,19,12
14,20,6,10,14,19
14,21,13,16,14,18
14,22,16,1,17,2
14,23,17,12,1,0
14,24,-1,-1,-1,-1
14,25,-1,-1,-1,-1
14,26,17,11,1,15
14,27,7,18,7,16
14,28,15,17,6,5
14,29,12,1,19,4
15,0,5,17,17,15
15,1,14,15,6,12
15,2,-1,-1,-1,-1
15,3,6,17,3,6
15,4,9,3,7,9
15,5,-1,-1,-1,-1
15,6,7,12,9,2
15,7,7,15,9,7
15,8,11,17,11,2
15,9,2,19,1,19
15,10,15,18,18,4
15,11,-1,-1,-1,-1
15,12,2,6,2,10
15,13,12,2,5,5
15,14,7,11,13,17
15,15,8,1,14,7
15,16,10,3,3,10
15,17,7,10,16,18
15,18,7,19,14,19
15,19,18,9,19,12
15,20,6,10,14,19
15,21,13,17,14,18
15,22,17,1,17,2
15,23,17,13,1,0
15,24,-1,-1,-1,-1
15,25,-1,-1,-1,-1
15,26,18,11,1,15
15,27,6,18,7,16
15,28,14,17,6,5
15,29,12,1,19,4
16,0,5,16,17,15
16,1,14,16,6,12
16,2,-1,-1,-1,-1
16,3,7,17,3,6
16,4,9,2,7,9
16,5,-1,-1,-1,-1
16,6,6,12,9,2
16,7,7,16,9,7
16,8,11,16,11,2
16,9,1,19,1,19
16,10,16,18,18,4
16,11,-1,-1,-1,-1
16,12,2,7,2,10
16,13,11,2,5,5
16,14,6,11,13,17
16,15,9,1,14,7
16,16,10,2,3,10
16,17,7,9,16,18
