step,active_robots,cumulative_deliveries
0,30,0
1,30,0
2,30,0
3,29,1
4,29,1
5,29,1
6,29,1
7,29,1
8,28,2
9,28,2
10,28,2
11,27,3
12,26,4
13,26,4
14,25,5
15,24,6
16,24,6
17,23,7
18,23,7
19,22,8
20,22,8
21,22,8
22,21,9
23,21,9
24,20,10
25,20,10
26,20,10
27,20,10
28,20,10
29,20,10
30,20,10
31,20,10
32,20,10
33,20,10
34,20,10
35,20,10
36,20,10
37,20,10
38,20,10
39,20,10
40,20,10
41,20,10
42,20,10
43,20,10
44,20,10
45,20,10
46,20,10
47,20,10
48,20,10
49,20,10
50,20,10
51,20,10
52,20,10
53,20,10
54,20,10
55,20,10
56,20,10
57,20,10
58,20,10
59,20,10
60,20,10
61,20,10
62,20,10
63,20,10
64,20,10
65,20,10
66,20,10
67,20,10
68,20,10
69,20,10
70,20,10
71,20,10
72,20,10
73,20,10
74,20,10
75,20,10
76,20,10
77,20,10
78,20,10
79,20,10
80,20,10
81,20,10
82,20,10
83,20,10
84,20,10
85,20,10
86,20,10
87,20,10
88,20,10
89,20,10
90,20,10
91,20,10
92,20,10
93,20,10
94,20,10
95,20,10
96,20,10
97,20,10
98,20,10
99,20,10
100,20,10
101,20,10
102,20,10
103,20,10
104,20,10
105,20,10
106,20,10
107,20,10
108,20,10
109,20,10
110,20,10
111,20,10
112,20,10
113,20,10
114,20,10
115,20,10
116,20,10
117,20,10
118,20,10
119,20,10
120,20,10
121,20,10
122,20,10
123,20,10
124,20,10
125,20,10
126,20,10
127,20,10
128,20,10
129,20,10
130,20,10
131,20,10
132,20,10
133,20,10
134,20,10
135,20,10
136,20,10
137,20,10
138,20,10
139,20,10
140,20,10
141,20,10
142,20,10
143,20,10
144,20,10
145,20,10
146,20,10
147,20,10
148,20,10
149,20,10
150,20,10
151,20,10
152,20,10
153,20,10
154,20,10
155,20,10
156,20,10
157,20,10
158,20,10
159,20,10
160,20,10
161,20,10
162,20,10
163,20,10
164,20,10
165,20,10
166,20,10
167,20,10
168,20,10
169,20,10
170,20,10
171,20,10
172,20,10
173,20,10
174,20,10
175,20,10
176,20,10
177,20,10
178,20,10
179,20,10
180,20,10
181,20,10
182,20,10
183,20,10
184,20,10
185,20,10
186,20,10
187,20,10
188,20,10
189,20,10
190,20,10
191,20,10
192,20,10
193,20,10
194,20,10
195,20,10
196,20,10
197,20,10
198,20,10
199,20,10
200,20,10
201,20,10
202,20,10
203,20,10
204,20,10
205,20,10
206,20,10
207,20,10
208,20,10
209,20,10
210,20,10
211,20,10
212,20,10
213,20,10
214,20,10
215,20,10
216,20,10
217,20,10
218,20,10
219,20,10
220,20,10
221,20,10
222,20,10
223,20,10
224,20,10
225,20,10
226,20,10
227,20,10
228,20,10
229,20,10
230,20,10
231,20,10
232,20,10
233,20,10
234,20,10
235,20,10
236,20,10
237,20,10
238,20,10
239,20,10
240,20,10
241,20,10
242,20,10
243,20,10
244,20,10
245,20,10
246,20,10
247,20,10
248,20,10
249,20,10
250,20,10
251,20,10
252,20,10
253,20,10
254,20,10
255,20,10
256,20,10
257,20,10
258,20,10
259,20,10
260,20,10
261,20,10
262,20,10
263,20,10
264,20,10
265,20,10
266,20,10
267,20,10
268,20,10
269,20,10
270,20,10
271,20,10
272,20,10
273,20,10
274,20,10
275,20,10
276,20,10
277,20,10
278,20,10
279,20,10
280,20,10
281,20,10
282,20,10
283,20,10
284,20,10
285,20,10
286,20,10
287,20,10
288,20,10
289,20,10
290,20,10
291,20,10
292,20,10
293,20,10
294,20,10
295,20,10
296,20,10
297,20,10
298,20,10
299,20,10
300,20,10
301,20,10
302,20,10
303,20,10
304,20,10
305,20,10
306,20,10
307,20,10
308,20,10
309,20,10
310,20,10
311,20,10
312,20,10
313,20,10
314,20,10
315,20,10
316,20,10
317,20,10
318,20,10
319,20,10
320,20,10
321,20,10
322,20,10
323,20,10
324,20,10
325,20,10
326,20,10
327,20,10
328,20,10
329,20,10
330,20,10
331,20,10
332,20,10
333,20,10
334,20,10
335,20,10
336,20,10
337,20,10
338,20,10
339,20,10
340,20,10
341,20,10
342,20,10
343,20,10
344,20,10
345,20,10
346,20,10
347,20,10
348,20,10
349,20,10
350,20,10
351,20,10
352,20,10
353,20,10
354,20,10
355,20,10
356,20,10
357,20,10
358,20,10
359,20,10
360,20,10
361,20,10
362,20,10
363,20,10
364,20,10
365,20,10
366,20,10
367,20,10
368,20,10
369,20,10
370,20,10
371,20,10
372,20,10
373,20,10
374,20,10
375,20,10
376,20,10
377,20,10
378,20,10
379,20,10
380,20,10
381,20,10
382,20,10
383,20,10
384,20,10
385,20,10
386,20,10
387,20,10
388,20,10
389,20,10
390,20,10
391,20,10
392,20,10
393,20,10
394,20,10
395,20,10
396,20,10
397,20,10
398,20,10
399,20,10
400,20,10
401,20,10
402,20,10
403,20,10
404,20,10
405,20,10
406,20,10
407,20,10
408,20,10
409,20,10
410,20,10
411,20,10
412,20,10
413,20,10
414,20,10
415,20,10
416,20,10
417,20,10
418,20,10
419,20,10
420,20,10
421,20,10
422,20,10
423,20,10
424,20,10
425,20,10
426,20,10
427,20,10
428,20,10
429,20,10
430,20,10
431,20,10
432,20,10
433,20,10
434,20,10
435,20,10
436,20,10
437,20,10
438,20,10
439,20,10
440,20,10
441,20,10
442,20,10
443,20,10
444,20,10
445,20,10
446,20,10
447,20,10
448,20,10
449,20,10
450,20,10
451,20,10
452,20,10
453,20,10
454,20,10
455,20,10
456,20,10
457,20,10
458,20,10
459,20,10
460,20,10
461,20,10
462,20,10
463,20,10
464,20,10
465,20,10
466,20,10
467,20,10
468,20,10
469,20,10
470,20,10
471,20,10
472,20,10
473,20,10
474,20,10
475,20,10
476,20,10
477,20,10
478,20,10
479,20,10
480,20,10
481,20,10
482,20,10
483,20,10
484,20,10
485,20,10
486,20,10
487,20,10
488,20,10
489,20,10
490,20,10
491,20,10
492,20,10
493,20,10
494,20,10
495,20,10
496,20,10
497,20,10
498,20,10
499,20,10
