iteration,max_delta
0,10201.000000
1,10201.000000
2,10098.990234
3,9998.000000
4,9898.020508
5,9799.040039
6,9701.050781
7,9604.040039
8,9507.999023
9,9412.919922
10,9318.790039
11,9225.602539
12,9133.347656
13,9042.013672
14,8951.593750
15,8862.077148
16,8773.456055
17,8685.722656
18,8594.648438
19,8508.661133
20,8419.359375
21,8330.951172
22,8243.464844
23,8160.909668
24,8075.164062
25,7990.114258
26,7905.867188
27,7822.420410
28,7743.284180
29,7661.656250
30,7580.426270
31,7499.961426
32,7421.038574
33,7342.707031
34,7263.081055
35,7186.110840
36,7112.998535
37,7041.868652
38,6967.376465
39,137.870117
40,136.491699
41,135.126953
42,133.774902
43,132.437012
44,131.112793
45,129.801758
46,128.503418
47,127.218262
48,125.946289
49,124.687012
50,123.439941
51,122.205566
52,120.983887
53,119.773926
54,118.576172
55,117.390625
56,116.216797
57,115.054199
58,113.903809
59,112.765137
60,111.637695
61,110.521484
62,109.416504
63,108.322266
64,107.238770
65,106.166504
66,105.104980
67,104.054199
68,103.013672
69,101.983398
70,100.963867
71,99.954590
72,98.955078
73,97.965820
74,96.984375
75,96.014648
76,95.054199
77,94.104004
78,93.163086
79,92.231445
