step,id,x,y,gx,gy,priority,battery,blocked,charging
0,0,6,15,1,6,1,100,0,0
0,1,10,13,2,9,2,100,0,0
0,2,2,2,13,12,0,100,0,0
0,3,7,10,1,19,0,100,0,0
0,4,19,13,9,18,1,100,0,0
0,5,6,3,11,1,2,100,0,0
0,6,12,18,10,6,2,100,0,0
0,7,5,19,17,7,1,100,0,0
0,8,9,13,7,3,0,100,0,0
0,9,14,15,13,3,1,100,0,0
0,10,13,0,19,16,0,100,0,0
0,11,13,3,7,14,1,100,0,0
0,12,4,17,12,0,2,100,0,0
0,13,1,17,19,10,2,100,0,0
0,14,4,19,1,6,1,100,0,0
0,15,13,9,0,0,-1,100,0,0
0,16,11,13,2,17,2,100,0,0
0,17,5,1,13,11,2,100,0,0
0,18,4,0,17,8,2,100,0,0
0,19,10,9,1,3,2,100,0,0
0,20,19,0,13,3,1,100,0,0
0,21,9,5,16,1,1,100,0,0
0,22,17,0,17,17,0,100,0,0
0,23,7,9,2,10,1,100,0,0
0,24,18,8,3,11,1,100,0,0
0,25,19,8,17,9,2,100,0,0
0,26,9,16,2,14,1,100,0,0
0,27,11,0,7,8,0,100,0,0
0,28,1,4,17,8,2,100,0,0
0,29,5,11,10,3,2,100,0,0
1,0,5,15,1,6,1,99,0,0
1,1,10,14,2,9,2,99,0,0
1,2,3,2,13,12,0,99,0,0
1,3,7,11,1,19,0,99,0,0
1,4,18,13,9,18,1,99,0,0
1,5,6,2,11,1,2,99,0,0
1,6,13,18,10,6,2,99,0,0
1,7,5,18,17,7,1,99,0,0
1,8,9,12,7,3,0,99,0,0
1,9,13,15,13,3,1,99,0,0
1,10,14,0,19,16,0,99,0,0
1,11,13,2,7,14,1,99,0,0
1,12,3,17,12,0,2,99,0,0
1,13,1,18,19,10,2,99,0,0
1,14,3,19,1,6,1,99,0,0
1,15,13,8,0,0,-1,99,0,0
1,16,11,14,2,17,2,99,0,0
1,17,4,1,13,11,2,99,0,0
1,18,3,0,17,8,2,99,0,0
1,19,10,8,1,3,2,99,0,0
1,20,19,1,13,3,1,99,0,0
1,21,10,5,16,1,1,99,0,0
1,22,17,1,17,17,0,99,0,0
1,23,6,9,2,10,1,99,0,0
1,24,18,7,3,11,1,99,0,0
1,25,19,7,17,9,2,99,0,0
1,26,9,17,2,14,1,99,0,0
1,27,10,0,7,8,0,99,0,0
1,28,1,3,17,8,2,99,0,0
1,29,5,10,10,3,2,99,0,0
2,0,5,16,1,6,1,98,0,0
2,1,10,15,2,9,2,98,0,0
2,2,4,2,13,12,0,98,0,0
2,3,6,11,1,19,0,98,0,0
2,4,18,14,9,18,1,98,0,0
2,5,5,2,11,1,2,98,0,0
2,6,14,18,10,6,2,98,0,0
2,7,4,18,17,7,1,98,0,0
2,8,9,11,7,3,0,98,0,0
2,9,13,14,13,3,1,98,0,0
2,10,14,1,19,16,0,98,0,0
2,11,12,2,7,14,1,98,0,0
2,12,2,17,12,0,2,98,0,0
2,13,0,18,19,10,2,98,0,0
2,14,2,19,1,6,1,98,0,0
2,15,13,7,0,0,-1,98,0,0
2,16,11,15,2,17,2,98,0,0
2,17,3,1,13,11,2,98,0,0
2,18,2,0,17,8,2,98,0,0
2,19,9,8,1,3,2,98,0,0
2,20,18,1,13,3,1,98,0,0
2,21,10,4,16,1,1,98,0,0
2,22,17,2,17,17,0,98,0,0
2,23,6,8,2,10,1,98,0,0
2,24,18,6,3,11,1,98,0,0
2,25,19,6,17,9,2,98,0,0
2,26,8,17,2,14,1,98,0,0
2,27,10,1,7,8,0,98,0,0
2,28,1,2,17,8,2,98,0,0
2,29,5,9,10,3,2,98,0,0
3,0,5,17,1,6,1,97,0,0
3,1,9,15,2,9,2,97,0,0
3,2,4,2,13,12,0,97,1,0
3,3,5,11,1,19,0,97,0,0
3,4,18,15,9,18,1,97,0,0
3,5,5,1,11,1,2,97,0,0
3,6,15,18,10,6,2,97,0,0
3,7,3,18,17,7,1,97,0,0
3,8,9,10,7,3,0,97,0,0
3,9,13,13,13,3,1,97,0,0
3,10,15,1,19,16,0,97,0,0
3,11,11,2,7,14,1,97,0,0
3,12,1,17,12,0,2,97,0,0
3,13,1,18,19,10,2,97,0,0
3,14,1,19,1,6,1,97,0,0
3,15,13,6,0,0,-1,97,0,0
3,16,11,16,2,17,2,97,0,0
3,17,2,1,13,11,2,97,0,0
3,18,1,0,17,8,2,97,0,0
3,19,9,7,1,3,2,97,0,0
3,20,18,0,13,3,1,97,0,0
3,21,10,3,16,1,1,97,0,0
3,22,17,3,17,17,0,97,0,0
3,23,6,7,2,10,1,97,0,0
3,24,18,5,3,11,1,97,0,0
3,25,19,5,17,9,2,97,0,0
3,26,7,17,2,14,1,97,0,0
3,27,10,2,7,8,0,97,0,0
3,28,1,1,17,8,2,97,0,0
3,29,5,8,10,3,2,97,0,0
4,0,4,17,1,6,1,96,0,0
4,1,9,16,2,9,2,96,0,0
4,2,5,2,13,12,0,96,1,0
4,3,5,12,1,19,0,96,0,0
4,4,18,16,9,18,1,96,0,0
4,5,4,1,11,1,2,96,0,0
4,6,16,18,10,6,2,96,0,0
4,7,2,18,17,7,1,96,0,0
4,8,9,9,7,3,0,96,0,0
4,9,13,12,13,3,1,96,0,0
4,10,16,1,19,16,0,96,0,0
4,11,11,2,7,14,1,96,1,0
4,12,1,17,12,0,2,96,1,0
4,13,0,18,19,10,2,96,0,0
4,14,1,19,1,6,1,96,1,0
4,15,13,5,0,0,-1,96,0,0
4,16,11,17,2,17,2,96,0,0
4,17,2,1,13,11,2,96,1,0
4,18,1,0,17,8,2,96,1,0
4,19,9,6,1,3,2,96,0,0
4,20,18,1,13,3,1,96,0,0
4,21,11,3,16,1,1,96,0,0
4,22,17,4,17,17,0,96,0,0
4,23,6,6,2,10,1,96,0,0
4,24,18,4,3,11,1,96,0,0
4,25,19,4,17,9,2,96,0,0
4,26,6,17,2,14,1,96,0,0
4,27,9,2,7,8,0,96,0,0
4,28,0,1,17,8,2,96,0,0
4,29,5,7,10,3,2,96,0,0
5,0,4,18,1,6,1,95,0,0
5,1,9,17,2,9,2,95,0,0
5,2,6,2,13,12,0,95,1,0
5,3,5,13,1,19,0,95,0,0
5,4,18,17,9,18,1,95,0,0
5,5,3,1,11,1,2,95,0,0
5,6,17,18,10,6,2,95,0,0
5,7,1,18,17,7,1,95,0,0
5,8,9,8,7,3,0,95,0,0
5,9,13,11,13,3,1,95,0,0
5,10,17,1,19,16,0,95,0,0
5,11,10,2,7,14,1,95,1,0
5,12,1,17,12,0,2,95,2,0
5,13,0,18,19,10,2,95,1,0
5,14,1,19,1,6,1,95,2,0
5,15,13,4,0,0,-1,95,0,0
5,16,11,18,2,17,2,95,0,0
5,17,1,1,13,11,2,95,1,0
5,18,1,0,17,8,2,95,2,0
5,19,9,5,1,3,2,95,0,0
5,20,19,1,13,3,1,95,0,0
5,21,11,3,16,1,1,95,1,0
5,22,17,5,17,17,0,95,0,0
5,23,6,5,2,10,1,95,0,0
5,24,18,3,3,11,1,95,0,0
5,25,19,3,17,9,2,95,0,0
5,26,5,17,2,14,1,95,0,0
5,27,8,2,7,8,0,95,0,0
5,28,0,1,17,8,2,95,1,0
5,29,5,6,10,3,2,95,0,0
6,0,3,18,1,6,1,94,0,0
6,1,8,17,2,9,2,94,0,0
6,2,7,2,13,12,0,94,1,0
6,3,5,14,1,19,0,94,0,0
6,4,18,18,9,18,1,94,0,0
6,5,2,1,11,1,2,94,0,0
6,6,17,18,10,6,2,94,1,0
6,7,2,18,17,7,1,94,0,0
6,8,9,7,7,3,0,94,0,0
6,9,13,10,13,3,1,94,0,0
6,10,18,1,19,16,0,94,0,0
6,11,9,2,7,14,1,94,1,0
6,12,1,17,12,0,2,94,3,0
6,13,0,18,19,10,2,94,2,0
6,14,1,19,1,6,1,94,3,0
6,15,13,3,0,0,-1,94,0,0
6,16,10,18,2,17,2,94,0,0
6,17,1,2,13,11,2,94,1,0
6,18,1,0,17,8,2,94,3,0
6,19,9,4,1,3,2,94,0,0
6,20,19,1,13,3,1,94,1,0
6,21,11,2,16,1,1,94,1,0
6,22,17,6,17,17,0,94,0,0
6,23,6,4,2,10,1,94,0,0
6,24,18,2,3,11,1,94,0,0
6,25,19,2,17,9,2,94,0,0
6,26,4,17,2,14,1,94,0,0
6,27,8,2,7,8,0,94,1,0
6,28,0,1,17,8,2,94,2,0
6,29,5,5,10,3,2,94,0,0
7,0,3,18,1,6,1,93,1,0
7,1,8,18,2,9,2,93,0,0
7,2,7,2,13,12,0,93,2,0
7,3,5,15,1,19,0,93,0,0
7,4,18,19,9,18,1,93,0,0
7,5,1,1,11,1,2,93,0,0
7,6,17,18,10,6,2,93,2,0
7,7,1,18,17,7,1,93,0,0
7,8,9,6,7,3,0,93,0,0
7,9,13,9,13,3,1,93,0,0
7,10,18,0,19,16,0,93,0,0
7,11,9,2,7,14,1,93,2,0
7,12,1,17,12,0,2,93,4,0
7,13,0,18,19,10,2,93,3,0
7,14,1,19,1,6,1,93,4,0
7,15,13,2,0,0,-1,93,0,0
7,16,9,18,2,17,2,93,0,0
7,17,1,2,13,11,2,93,2,0
7,18,1,0,17,8,2,93,4,0
7,19,9,3,1,3,2,93,0,0
7,20,19,1,13,3,1,93,2,0
7,21,11,1,16,1,1,93,1,0
7,22,17,7,17,17,0,93,0,0
7,23,6,3,2,10,1,93,0,0
7,24,18,2,3,11,1,93,1,0
7,25,19,2,17,9,2,93,1,0
7,26,3,17,2,14,1,93,0,0
7,27,8,2,7,8,0,93,2,0
7,28,0,1,17,8,2,93,3,0
7,29,5,4,10,3,2,93,0,0
8,0,2,18,1,6,1,92,1,0
8,1,7,18,2,9,2,92,0,0
8,2,7,2,13,12,0,92,3,0
8,3,5,16,1,19,0,92,0,0
8,4,18,18,9,18,1,92,0,0
8,5,2,1,11,1,2,92,0,0
8,6,17,18,10,6,2,92,3,0
8,7,1,18,17,7,1,92,1,0
8,8,9,5,7,3,0,92,0,0
8,9,13,8,13,3,1,92,0,0
8,10,18,1,19,16,0,92,0,0
8,11,9,2,7,14,1,92,3,0
8,12,1,17,12,0,2,92,5,0
8,13,0,18,19,10,2,92,4,0
8,14,1,19,1,6,1,92,5,0
8,15,13,1,0,0,-1,92,0,0
8,16,9,18,2,17,2,92,1,0
8,17,1,2,13,11,2,92,3,0
8,18,1,0,17,8,2,92,5,0
8,19,9,3,1,3,2,92,1,0
8,20,19,1,13,3,1,92,3,0
8,21,12,1,16,1,1,92,1,0
8,22,17,8,17,17,0,92,0,0
8,23,6,2,2,10,1,92,0,0
8,24,18,2,3,11,1,92,2,0
