step,active_robots,cumulative_deliveries
0,30,0
1,30,0
2,30,0
3,30,0
4,30,0
5,30,0
6,30,0
7,30,0
8,30,0
9,30,0
10,30,0
11,30,0
12,29,1
13,29,2
14,28,4
15,28,6
16,28,8
17,28,10
18,27,13
19,27,16
20,27,19
21,27,22
22,27,25
23,27,28
24,27,31
25,27,34
26,27,37
27,27,40
28,27,43
29,27,46
30,27,49
31,27,52
32,27,55
33,27,58
34,27,61
35,27,64
36,27,67
37,27,70
38,27,73
39,27,76
40,27,79
41,27,82
42,27,85
43,27,88
44,27,91
45,27,94
46,27,97
47,27,100
48,27,103
49,27,106
50,27,109
51,27,112
52,27,115
53,27,118
54,27,121
55,27,124
56,27,127
57,27,130
58,27,133
59,27,136
60,27,139
61,27,142
62,27,145
63,27,148
64,27,151
65,27,154
66,27,157
67,27,160
68,27,163
69,27,166
70,27,169
71,27,172
72,27,175
73,27,178
74,27,181
75,27,184
76,27,187
77,27,190
78,27,193
79,27,196
80,27,199
81,27,202
82,26,206
83,24,212
84,23,219
85,23,226
86,23,233
87,23,240
88,23,247
89,23,254
90,23,261
91,23,268
92,23,275
93,23,282
94,23,289
95,23,296
96,23,303
97,23,310
98,23,317
99,23,324
100,23,331
101,23,338
102,23,345
103,23,352
104,23,359
105,23,366
106,23,373
107,23,380
108,23,387
109,23,394
110,23,401
111,23,408
112,23,415
113,23,422
114,23,429
115,23,436
116,23,443
117,23,450
118,23,457
119,23,464
120,23,471
121,23,478
122,23,485
123,23,492
124,23,499
125,23,506
126,23,513
127,23,520
128,23,527
129,23,534
130,23,541
131,23,548
132,23,555
133,23,562
134,23,569
135,23,576
136,23,583
137,23,590
138,23,597
139,23,604
140,23,611
141,23,618
142,23,625
143,23,632
144,23,639
145,23,646
146,23,653
147,23,660
148,23,667
149,23,674
150,23,681
151,23,688
152,23,695
153,23,702
154,23,709
155,23,716
156,23,723
157,23,730
158,23,737
159,21,746
160,19,757
161,19,768
162,19,779
163,19,790
164,19,801
165,19,812
166,19,823
167,19,834
168,19,845
169,19,856
170,19,867
171,19,878
172,19,889
173,19,900
174,19,911
175,19,922
176,19,933
177,19,944
178,19,955
179,19,966
180,19,977
181,19,988
182,19,999
183,19,1010
184,19,1021
185,19,1032
186,19,1043
187,19,1054
188,19,1065
189,19,1076
190,19,1087
191,19,1098
192,19,1109
193,19,1120
194,19,1131
195,19,1142
196,19,1153
197,19,1164
198,19,1175
199,19,1186
200,19,1197
201,19,1208
202,19,1219
203,19,1230
204,19,1241
205,19,1252
206,19,1263
207,19,1274
208,19,1285
209,19,1296
210,19,1307
211,19,1318
212,19,1329
213,19,1340
214,19,1351
215,19,1362
216,19,1373
217,19,1384
218,19,1395
219,19,1406
220,19,1417
221,19,1428
222,19,1439
223,19,1450
224,19,1461
225,19,1472
226,19,1483
227,19,1494
228,19,1505
229,19,1516
230,19,1527
231,19,1538
232,19,1549
233,19,1560
234,19,1571
235,18,1583
236,17,1596
237,17,1609
238,16,1623
239,16,1637
240,16,1651
241,16,1665
242,16,1679
243,16,1693
244,16,1707
245,16,1721
246,16,1735
247,16,1749
248,16,1763
249,16,1777
250,16,1791
251,16,1805
252,16,1819
253,16,1833
254,16,1847
255,16,1861
256,16,1875
257,16,1889
258,16,1903
259,16,1917
260,16,1931
261,16,1945
262,16,1959
263,16,1973
264,16,1987
265,16,2001
266,16,2015
267,16,2029
268,16,2043
269,16,2057
270,16,2071
271,16,2085
272,16,2099
273,16,2113
274,16,2127
275,16,2141
276,16,2155
277,16,2169
278,16,2183
279,16,2197
280,16,2211
281,16,2225
282,16,2239
283,16,2253
284,16,2267
285,16,2281
286,16,2295
287,16,2309
288,16,2323
289,16,2337
290,16,2351
291,16,2365
292,16,2379
293,16,2393
294,16,2407
295,16,2421
296,16,2435
297,16,2449
298,16,2463
299,16,2477
300,16,2491
301,16,2505
302,16,2519
303,16,2533
304,16,2547
305,16,2561
306,16,2575
307,15,2590
308,15,2605
309,14,2621
310,13,2638
311,13,2655
312,13,2672
313,13,2689
314,13,2706
315,13,2723
316,13,2740
317,13,2757
318,13,2774
319,13,2791
320,13,2808
321,13,2825
322,13,2842
323,13,2859
324,13,2876
325,13,2893
326,13,2910
327,13,2927
328,13,2944
329,13,2961
330,13,2978
331,13,2995
332,13,3012
333,13,3029
334,13,3046
335,13,3063
336,13,3080
337,13,3097
338,13,3114
339,13,3131
340,13,3148
341,13,3165
342,13,3182
343,13,3199
344,13,3216
345,13,3233
346,13,3250
347,13,3267
348,13,3284
349,13,3301
350,13,3318
351,13,3335
352,13,3352
353,13,3369
354,13,3386
355,13,3403
356,13,3420
357,13,3437
358,13,3454
359,13,3471
360,13,3488
361,13,3505
362,13,3522
363,13,3539
364,13,3556
365,13,3573
366,13,3590
367,13,3607
368,13,3624
369,13,3641
370,13,3658
371,13,3675
372,13,3692
373,13,3709
374,13,3726
375,13,3743
376,13,3760
377,13,3777
378,12,3795
379,12,3813
380,12,3831
381,12,3849
382,12,3867
383,12,3885
384,11,3904
385,11,3923
386,11,3942
387,11,3961
388,11,3980
389,11,3999
390,11,4018
391,11,4037
392,11,4056
393,11,4075
394,11,4094
395,11,4113
396,11,4132
397,11,4151
398,11,4170
399,11,4189
400,11,4208
401,11,4227
402,11,4246
403,11,4265
404,11,4284
405,11,4303
406,11,4322
407,11,4341
408,11,4360
409,11,4379
410,11,4398
411,11,4417
412,11,4436
413,11,4455
414,11,4474
415,11,4493
416,11,4512
417,11,4531
418,11,4550
419,11,4569
420,11,4588
421,11,4607
422,11,4626
423,11,4645
424,11,4664
425,11,4683
426,11,4702
427,11,4721
428,11,4740
429,11,4759
430,11,4778
431,11,4797
432,11,4816
433,11,4835
434,11,4854
435,11,4873
436,11,4892
437,11,4911
438,11,4930
439,11,4949
440,11,4968
441,11,4987
442,11,5006
443,11,5025
444,11,5044
445,11,5063
446,11,5082
447,11,5101
448,11,5120
449,11,5139
450,11,5158
451,11,5177
452,11,5196
453,9,5217
454,9,5238
455,9,5259
456,9,5280
457,9,5301
458,9,5322
459,9,5343
460,9,5364
461,9,5385
462,9,5406
463,9,5427
464,9,5448
465,9,5469
466,9,5490
467,9,5511
468,9,5532
469,9,5553
470,9,5574
471,9,5595
472,9,5616
473,9,5637
474,9,5658
475,9,5679
476,9,5700
477,9,5721
478,9,5742
479,9,5763
480,9,5784
481,9,5805
482,9,5826
483,9,5847
484,9,5868
485,9,5889
486,9,5910
487,9,5931
488,9,5952
489,9,5973
490,9,5994
491,9,6015
492,9,6036
493,9,6057
494,9,6078
495,9,6099
496,9,6120
497,9,6141
498,9,6162
499,9,6183
