step,active_robots,cumulative_deliveries
0,30,0
1,30,0
2,30,0
3,29,1
4,29,1
5,29,1
6,29,1
7,29,1
8,28,2
9,28,2
10,28,2
11,27,3
12,26,4
13,26,4
14,25,5
15,24,6
16,24,6
17,23,7
18,23,7
19,22,8
20,22,8
21,22,8
22,21,9
23,21,9
24,20,10
25,20,10
26,20,10
27,20,10
28,20,10
29,20,10
30,20,10
31,20,10
32,20,10
33,20,10
34,20,10
35,20,10
36,20,10
37,20,10
38,20,10
39,20,10
40,20,10
41,20,10
42,20,10
43,20,10
44,20,10
45,20,10
46,20,10
47,20,10
48,20,10
49,20,10
50,20,10
51,20,10
52,20,10
53,20,10
54,20,10
55,20,10
56,20,10
57,20,10
58,20,10
59,20,10
60,20,10
61,20,10
62,20,10
63,20,10
64,20,10
65,20,10
66,20,10
67,20,10
68,20,10
69,20,10
70,20,10
71,20,10
72,20,10
73,20,10
74,20,10
75,20,10
76,20,10
77,20,10
78,20,10
79,20,10
80,20,10
81,20,10
82,20,10
83,20,10
84,20,10
85,19,11
86,19,11
87,19,11
88,19,11
89,19,11
90,19,11
91,19,11
92,19,11
93,19,11
94,19,11
95,19,11
96,19,11
97,19,11
98,19,11
99,19,11
100,19,11
101,19,11
102,19,11
103,19,11
104,19,11
105,19,11
106,19,11
107,19,11
108,19,11
109,19,11
110,19,11
111,19,11
112,19,11
113,19,11
114,19,11
115,19,11
116,19,11
117,19,11
118,19,11
119,19,11
120,19,11
121,19,11
122,19,11
123,19,11
124,19,11
125,19,11
126,19,11
127,19,11
128,19,11
129,19,11
130,19,11
131,19,11
132,19,11
133,19,11
134,19,11
135,19,11
136,19,11
137,19,11
138,19,11
139,19,11
140,19,11
141,19,11
142,19,11
143,19,11
144,19,11
145,19,11
146,19,11
147,19,11
148,19,11
149,19,11
150,19,11
151,19,11
152,19,11
153,19,11
154,19,11
155,19,11
156,19,11
157,19,11
158,19,11
159,19,11
160,19,11
161,19,11
162,19,11
163,19,11
164,19,11
165,19,11
166,19,11
167,19,11
168,19,11
169,19,11
170,19,11
171,19,11
172,19,11
173,19,11
174,19,11
175,19,11
176,19,11
177,19,11
178,19,11
179,19,11
180,19,11
181,19,11
182,19,11
183,19,11
184,19,11
185,19,11
186,19,11
187,19,11
188,19,11
189,19,11
190,19,11
191,19,11
192,19,11
193,19,11
194,19,11
195,19,11
196,19,11
197,19,11
198,19,11
199,19,11
200,19,11
201,19,11
202,19,11
203,19,11
204,19,11
205,19,11
206,19,11
207,19,11
208,19,11
209,19,11
210,19,11
211,19,11
212,19,11
213,19,11
214,19,11
215,19,11
216,19,11
217,19,11
218,19,11
219,19,11
220,19,11
221,19,11
222,19,11
223,19,11
224,19,11
225,19,11
226,19,11
227,19,11
228,19,11
229,19,11
230,19,11
231,19,11
232,19,11
233,19,11
234,19,11
235,19,11
236,19,11
237,19,11
238,19,11
239,19,11
240,19,11
241,19,11
242,19,11
243,19,11
244,19,11
245,19,11
246,19,11
247,19,11
248,19,11
249,19,11
250,19,11
251,19,11
252,19,11
253,19,11
254,19,11
255,19,11
256,19,11
257,19,11
258,19,11
259,19,11
260,19,11
261,19,11
262,19,11
263,19,11
264,19,11
265,19,11
266,19,11
267,19,11
268,19,11
269,19,11
270,19,11
271,19,11
272,19,11
273,19,11
274,19,11
275,19,11
276,19,11
277,19,11
278,19,11
279,19,11
280,19,11
281,19,11
282,19,11
283,19,11
284,19,11
285,19,11
286,19,11
287,19,11
288,19,11
289,19,11
290,19,11
291,19,11
292,19,11
293,19,11
294,19,11
295,19,11
296,19,11
297,19,11
298,19,11
299,19,11
300,19,11
301,19,11
302,19,11
303,19,11
304,19,11
305,19,11
306,19,11
307,19,11
308,19,11
309,19,11
310,19,11
311,19,11
312,19,11
313,19,11
314,19,11
315,19,11
316,19,11
317,19,11
318,19,11
319,19,11
320,19,11
321,19,11
322,19,11
323,19,11
324,19,11
325,19,11
326,19,11
327,19,11
328,19,11
329,19,11
330,19,11
331,19,11
332,19,11
333,19,11
334,19,11
335,19,11
336,19,11
337,19,11
338,19,11
339,19,11
340,19,11
341,19,11
342,19,11
343,19,11
344,19,11
345,19,11
346,19,11
347,19,11
348,19,11
349,19,11
350,19,11
351,19,11
352,19,11
353,19,11
354,19,11
355,19,11
356,19,11
357,19,11
358,19,11
359,19,11
360,19,11
361,19,11
362,19,11
363,19,11
364,19,11
365,19,11
366,19,11
367,19,11
368,19,11
369,19,11
370,19,11
371,19,11
372,19,11
373,19,11
374,19,11
375,19,11
376,19,11
377,19,11
378,19,11
379,19,11
380,19,11
381,19,11
382,19,11
383,19,11
384,19,11
385,19,11
386,19,11
387,19,11
388,19,11
389,19,11
390,19,11
391,19,11
392,19,11
393,19,11
394,19,11
395,19,11
396,19,11
397,19,11
398,19,11
399,19,11
400,19,11
401,19,11
402,19,11
403,19,11
404,19,11
405,19,11
406,19,11
407,19,11
408,19,11
409,19,11
410,19,11
411,19,11
412,19,11
413,19,11
414,19,11
415,19,11
416,19,11
417,19,11
418,19,11
419,19,11
420,19,11
421,19,11
422,19,11
423,19,11
424,19,11
425,19,11
426,19,11
427,19,11
428,19,11
429,19,11
430,19,11
431,19,11
432,19,11
433,19,11
434,19,11
435,19,11
436,19,11
437,19,11
438,19,11
439,19,11
440,19,11
441,19,11
442,19,11
443,19,11
444,19,11
445,19,11
446,19,11
447,19,11
448,19,11
449,19,11
450,19,11
451,19,11
452,19,11
453,19,11
454,19,11
455,19,11
456,19,11
457,19,11
458,19,11
459,19,11
460,19,11
461,19,11
462,19,11
463,19,11
464,19,11
465,19,11
466,19,11
467,19,11
468,19,11
469,19,11
470,19,11
471,19,11
472,19,11
473,19,11
474,19,11
475,19,11
476,19,11
477,19,11
478,19,11
479,19,11
480,19,11
481,19,11
482,19,11
483,19,11
484,19,11
485,19,11
486,19,11
487,19,11
488,19,11
489,19,11
490,19,11
491,19,11
492,19,11
493,19,11
494,19,11
495,19,11
496,19,11
497,19,11
498,19,11
499,19,11
