step,id,x,y,gx,gy,priority,battery,blocked
0,0,6,15,1,6,1,100,0
0,1,10,13,2,9,2,100,0
0,2,2,2,13,12,0,100,0
0,3,7,10,1,19,0,100,0
0,4,19,13,9,18,1,100,0
0,5,6,3,11,1,2,100,0
0,6,12,18,10,6,2,100,0
0,7,5,19,17,7,1,100,0
0,8,9,13,7,3,0,100,0
0,9,14,15,13,3,1,100,0
0,10,13,0,19,16,0,100,0
0,11,13,3,7,14,1,100,0
0,12,4,17,12,0,2,100,0
0,13,1,17,19,10,2,100,0
0,14,4,19,1,6,1,100,0
0,15,13,9,0,0,-1,100,0
0,16,11,13,2,17,2,100,0
0,17,5,1,13,11,2,100,0
0,18,4,0,17,8,2,100,0
0,19,10,9,1,3,2,100,0
0,20,19,0,13,3,1,100,0
0,21,9,5,16,1,1,100,0
0,22,17,0,17,17,0,100,0
0,23,7,9,2,10,1,100,0
0,24,18,8,3,11,1,100,0
0,25,19,8,17,9,2,100,0
0,26,9,16,2,14,1,100,0
0,27,11,0,7,8,0,100,0
0,28,1,4,17,8,2,100,0
0,29,5,11,10,3,2,100,0
1,0,5,15,1,6,1,99,0
1,1,10,14,2,9,2,99,0
1,2,3,2,13,12,0,99,0
1,3,6,10,1,19,0,99,0
1,4,18,13,9,18,1,99,0
1,5,6,2,11,1,2,99,0
1,6,13,18,10,6,2,99,0
1,7,5,18,17,7,1,99,0
1,8,9,12,7,3,0,99,0
1,9,14,14,13,3,1,99,0
1,10,13,1,19,16,0,99,0
1,11,13,2,7,14,1,99,0
1,12,3,17,12,0,2,99,0
1,13,1,18,19,10,2,99,0
1,14,3,19,1,6,1,99,0
1,15,13,8,0,0,-1,99,0
1,16,11,14,2,17,2,99,0
1,17,4,1,13,11,2,99,0
1,18,3,0,17,8,2,99,0
1,19,10,8,1,3,2,99,0
1,20,19,1,13,3,1,99,0
1,21,10,5,16,1,1,99,0
1,22,17,1,17,17,0,99,0
1,23,6,9,2,10,1,99,0
1,24,18,7,3,11,1,99,0
1,25,19,7,17,9,2,99,0
1,26,9,17,2,14,1,99,0
1,27,10,0,7,8,0,99,0
1,28,1,3,17,8,2,99,0
1,29,5,10,10,3,2,99,0
2,0,5,16,1,6,1,98,0
2,1,9,14,2,9,2,98,0
2,2,4,2,13,12,0,98,0
2,3,6,11,1,19,0,98,0
2,4,18,14,9,18,1,98,0
2,5,5,2,11,1,2,98,0
2,6,14,18,10,6,2,98,0
2,7,4,18,17,7,1,98,0
2,8,9,11,7,3,0,98,0
2,9,13,14,13,3,1,98,0
2,10,14,1,19,16,0,98,0
2,11,12,2,7,14,1,98,0
2,12,2,17,12,0,2,98,0
2,13,1,19,19,10,2,98,0
2,14,2,19,1,6,1,98,0
