step,id,x,y,gx,gy,priority,battery,blocked
0,0,7,5,15,1,0,100,0
0,1,6,10,13,2,2,100,0
0,2,9,2,2,13,1,100,0
0,3,13,7,10,1,2,100,0
0,4,19,19,13,9,0,100,0
0,5,18,6,3,11,2,100,0
0,6,1,12,18,0,0,100,0
0,7,9,10,6,16,0,100,0
0,8,11,5,19,17,1,100,0
0,9,7,8,11,9,1,100,0
0,10,13,16,14,7,0,100,0
0,11,3,4,15,13,2,100,0
0,12,3,13,0,19,2,100,0
0,13,3,7,14,4,2,100,0
0,14,17,12,0,1,0,100,0
0,15,17,19,10,4,0,100,0
0,16,19,1,6,13,2,100,0
0,17,9,0,16,0,1,100,0
0,18,7,11,13,2,2,100,0
0,19,17,5,1,13,1,100,0
0,20,11,4,0,17,0,100,0
0,21,9,1,3,19,2,100,0
0,22,3,12,6,9,1,100,0
0,23,5,16,1,17,2,100,0
0,24,0,17,17,7,0,100,0
0,25,9,2,10,18,2,100,0
0,26,11,19,6,17,2,100,0
0,27,9,9,16,2,0,100,0
0,28,14,12,13,11,2,100,0
0,29,8,1,4,17,0,100,0
1,0,7,4,15,1,0,99,0
1,1,6,9,13,2,2,99,0
1,2,8,2,2,13,1,99,0
1,3,13,6,10,1,2,99,0
1,4,19,18,13,9,0,99,0
1,5,18,5,3,11,2,99,0
1,6,1,11,18,0,0,99,0
1,7,9,11,6,16,0,99,0
1,8,11,6,19,17,1,99,0
1,9,7,7,11,9,1,99,0
1,10,13,15,14,7,0,99,0
1,11,3,3,15,13,2,99,0
1,12,3,14,0,19,2,99,0
1,13,3,6,14,4,2,99,0
1,14,17,11,0,1,0,99,0
1,15,17,18,10,4,0,99,0
1,16,18,1,6,13,2,99,0
1,17,10,0,16,0,1,99,0
1,18,7,10,13,2,2,99,0
1,19,17,4,1,13,1,99,0
1,20,11,5,0,17,0,99,0
1,21,9,1,3,19,2,100,1
1,22,3,13,6,9,1,99,0
1,23,5,17,1,17,2,99,0
1,24,0,18,17,7,0,99,0
1,25,10,2,10,18,2,99,0
1,26,11,18,6,17,2,99,0
1,27,9,8,16,2,0,99,0
1,28,14,11,13,11,2,99,0
1,29,7,1,4,17,0,99,0
2,0,7,3,15,1,0,98,0
2,1,6,8,13,2,2,98,0
2,2,8,1,2,13,1,98,0
2,3,13,5,10,1,2,98,0
2,4,18,18,13,9,0,98,0
2,5,18,4,3,11,2,98,0
2,6,1,10,18,0,0,98,0
2,7,9,12,6,16,0,98,0
2,8,11,7,19,17,1,98,0
2,9,7,6,11,9,1,98,0
2,10,13,14,14,7,0,98,0
2,11,3,2,15,13,2,98,0
2,12,3,15,0,19,2,98,0
2,13,3,5,14,4,2,98,0
2,14,17,10,0,1,0,98,0
2,15,17,18,10,4,0,99,1
2,16,18,2,6,13,2,98,0
2,17,11,0,16,0,1,98,0
2,18,7,9,13,2,2,98,0
2,19,17,3,1,13,1,98,0
2,20,11,6,0,17,0,98,0
2,21,9,1,3,19,2,100,2
2,22,3,14,6,9,1,98,0
2,23,5,18,1,17,2,98,0
2,24,1,18,17,7,0,98,0
2,25,10,1,10,18,2,98,0
2,26,10,18,6,17,2,98,0
2,27,9,7,16,2,0,98,0
2,28,13,11,13,11,2,98,0
2,29,7,2,4,17,0,98,0
3,0,7,3,15,1,0,98,1
3,1,6,7,13,2,2,97,0
3,2,7,1,2,13,1,97,0
3,3,13,4,10,1,2,97,0
3,4,18,17,13,9,0,97,0
3,5,18,3,3,11,2,97,0
3,6,1,9,18,0,0,97,0
3,7,9,13,6,16,0,97,0
3,8,11,8,19,17,1,97,0
3,9,7,5,11,9,1,97,0
3,10,13,13,14,7,0,97,0
3,11,3,1,15,13,2,97,0
3,12,3,16,0,19,2,97,0
3,13,3,4,14,4,2,97,0
3,14,17,9,0,1,0,97,0
3,15,18,18,10,4,0,98,1
3,16,18,1,6,13,2,97,0
3,17,12,0,16,0,1,97,0
3,18,7,8,13,2,2,97,0
3,19,17,2,1,13,1,97,0
3,20,11,7,0,17,0,97,0
3,21,8,1,3,19,2,99,2
3,22,3,15,6,9,1,97,0
3,23,4,18,1,17,2,97,0
3,24,1,19,17,7,0,97,0
3,25,11,1,10,18,2,97,0
3,26,9,18,6,17,2,97,0
3,27,9,6,16,2,0,97,0
3,28,-1,-1,-1,-1,2,100,0
3,29,6,2,4,17,0,97,0
4,0,7,2,15,1,0,97,1
4,1,6,6,13,2,2,96,0
4,2,6,1,2,13,1,96,0
4,3,13,3,10,1,2,96,0
4,4,17,17,13,9,0,96,0
4,5,18,2,3,11,2,96,0
4,6,1,8,18,0,0,96,0
4,7,9,14,6,16,0,96,0
4,8,11,9,19,17,1,96,0
4,9,7,4,11,9,1,96,0
4,10,13,12,14,7,0,96,0
4,11,2,1,15,13,2,96,0
4,12,3,17,0,19,2,96,0
4,13,3,3,14,4,2,96,0
4,14,17,8,0,1,0,96,0
4,15,18,19,10,4,0,97,1
4,16,18,0,6,13,2,96,0
4,17,13,0,16,0,1,96,0
4,18,7,7,13,2,2,96,0
4,19,17,1,1,13,1,96,0
4,20,11,8,0,17,0,96,0
4,21,7,1,3,19,2,98,2
4,22,3,16,6,9,1,96,0
4,23,3,18,1,17,2,96,0
4,24,1,18,17,7,0,96,0
4,25,12,1,10,18,2,96,0
4,26,8,18,6,17,2,96,0
4,27,9,5,16,2,0,96,0
4,28,-1,-1,-1,-1,2,100,0
4,29,6,3,4,17,0,96,0
5,0,8,2,15,1,0,96,1
5,1,6,5,13,2,2,95,0
5,2,5,1,2,13,1,95,0
5,3,13,2,10,1,2,95,0
5,4,16,17,13,9,0,95,0
5,5,18,1,3,11,2,95,0
5,6,1,7,18,0,0,95,0
5,7,9,15,6,16,0,95,0
5,8,11,10,19,17,1,95,0
5,9,7,3,11,9,1,95,0
5,10,13,11,14,7,0,95,0
5,11,1,1,15,13,2,95,0
5,12,2,17,0,19,2,95,0
5,13,3,2,14,4,2,95,0
5,14,17,7,0,1,0,95,0
5,15,18,18,10,4,0,96,1
5,16,18,0,6,13,2,96,1
5,17,14,0,16,0,1,95,0
5,18,7,6,13,2,2,95,0
5,19,17,1,1,13,1,96,1
5,20,11,9,0,17,0,95,0
5,21,6,1,3,19,2,97,2
5,22,3,17,6,9,1,95,0
5,23,2,18,1,17,2,95,0
5,24,1,19,17,7,0,95,0
5,25,13,1,10,18,2,95,0
5,26,7,18,6,17,2,95,0
5,27,9,4,16,2,0,95,0
5,28,-1,-1,-1,-1,2,100,0
5,29,6,4,4,17,0,95,0
6,0,8,1,15,1,0,95,1
6,1,5,5,13,2,2,94,0
6,2,4,1,2,13,1,94,0
6,3,14,2,10,1,2,94,0
6,4,15,17,13,9,0,94,0
